"country_code","country_name","track_id","track_name","popularity","album_id","album_name"
"ES","Spain","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"ES","Spain","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"ES","Spain","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"ES","Spain","1RQnYh2xw2BPpnzQFbO5r5","Too Much",57,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"ES","Spain","6ZNw9Cnc85OeHZrjMAZJfY","Goodbye",55,"4jbWZmf7kRxCBD6tgVepYh","Forever"
"FI","Finland","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe",81,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"FI","Finland","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"FI","Finland","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"FI","Finland","5qGwqO0lkbBXw4xNfzT7SF","Spice Up Your Life",67,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"FI","Finland","1yTQ39my3MoNROlFw3RDNy","Say You'll Be There",67,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"FI","Finland","1jI1aLmm5HTwiMtvsbwDJw","Who Do You Think You Are",65,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"FI","Finland","6BPDPcnbDMDf58srVzbfX9","Viva Forever",63,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"FI","Finland","3dNv3OuX6ol9si6PZ9KSAh","Mama",58,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"FI","Finland","1RQnYh2xw2BPpnzQFbO5r5","Too Much",57,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"FI","Finland","6ZNw9Cnc85OeHZrjMAZJfY","Goodbye",55,"4jbWZmf7kRxCBD6tgVepYh","Forever"
"FR","France","1Je1IMUlBXcx1Fz0WE7oPT","Wannabe",81,"3x2jF7blR6bFHtk4MccsyJ","Spice"
"FR","France","3FteycP8CaXS1MhjcXekVT","Stop",69,"3sr6lAuO3nmB1u8ZuQgpiX","Spiceworld"
"FR","France","36AWdhZIGLUTkWpJDhe7va","2 Become 1",68,"3x2jF7blR6bFHtk4MccsyJ","Spice"
